15-571,FUP,Białystok 3,Białystok,Stoczni Gdańskiej,76
15-428,UP,Białystok 4,Białystok,Lipowa,32
15-447,FUP,Białystok 4,Białystok,Aleja Józefa Piłsudskiego,26
15-050,UP,Białystok 8,Białystok,Mieszka I,14/9
15-182,FUP,Białystok 8,Białystok,42 Pułku Piechoty,127/U1
15-509,FUP,Białystok 8,Sobolewo,Szosa Baranowicka,92
15-436,UP,Białystok 9,Białystok,pl. Rynek Kościuszki,13
15-770,UP,Białystok 10,Białystok,Hugo Kołłątaja,7
15-821,UP,Białystok 11,Białystok,Zagórna,2 B
15-807,FUP,Białystok 11,Białystok,Dziesięciny,45
15-775,FUP,Białystok 11,Białystok,Aleja Konstytucji 3 Maja,22
15-641,UP,Białystok 13,Białystok,Nowosielska,34
15-308,UP,Białystok 14,Białystok,Wesoła,18
15-880,UP,Białystok 17,Białystok,Stołeczna,25
15-378,UP,Białystok 18,Białystok,gen. Józefa Bema,66
15-344,FUP,Białystok 18,Białystok,Stanisława Dubois,5
15-859,UP,Białystok 19,Białystok,Białostoczek,21
15-471,FUP,Białystok 19,Białystok,Ciepła,15
15-664,UP,Białystok 20,Białystok,Konwaliowa,2
15-168,UP,Białystok 23,Białystok,Władysława Wysockiego,67/A10
15-057,UP,Białystok 24,Białystok,Bolesława Chrobrego,2
15-212,FUP,Białystok 24,Białystok,ks. Stanisława Andrukiewicza,2/2U
15-154,FUP,Białystok 24,Białystok,Trawiasta,16
15-148,UP,Białystok 25,Białystok,Wasilkowska,1
15-017,FUP,Białystok 25,Białystok,Łąkowa,3/6
© Copyright by Poczta Polska S.A. Wszelkie prawa zastrzeżone.,,,,Strona 1674 / 1767,BIA
Poczta Polska S.A.,,Oficjalny Spis Pocztowych Numerów Adresowych - lipiec 2024,,Strona 1675 / 1767,BIA
PNA,Nazwa placówki,,Miejscowość,Ulica,Nr
15-662,UP,Białystok 26,Białystok,Wincentego Witosa,32
15-695,FUP,Białystok 26,Białystok,Bacieczki,212
15-100,UP,Białystok 27,Białystok,Bitwy Białostockiej,8 A
15-280,UP,Białystok 30,Białystok,Jerzego Waszyngtona,22 B
15-775,UP,Białystok 31,Białystok,Aleja Konstytucji 3 Maja,22
15-699,UP,Białystok 32,Białystok,ks. Witolda Pietkuna,5
15-330,UP,Białystok 33,Białystok,Zachodnia,5 B
15-675,FUP,Białystok 33,Białystok,Ekologiczna,16
15-001,FUP,Białystok 33,Białystok,Kawaleryjska,34
15-601,FUP,Białystok 33,skrytki/przegródki,,
15-900,PP,Białystok B102,Białystok,Welurowa,6
15-700,PP,Białystok B103,Białystok,Zwycięstwa,1/2
19-209,AP,Biebrza,Biebrza,Lipowa,22
38-340,UP,Biecz,Biecz,Kazimierza Wielkiego,9
38-305,FUP,Biecz,Lipinki,,53
68-343,AP,Biecz,Biecz,,61
62-305,AP,Bieganowo,Bieganowo,,18
58-260,UP,Bielawa 1,Bielawa,Piastowska,16
58-263,FUP,Bielawa 1,Bielawa,Jana III Sobieskiego,17
58-260,FUP,Bielawa 1,Bielawa,Stefana Żeromskiego,21
58-261,FUP,Bielawa 1,skrytki/przegródki,,
48-316,AP,Bielice,Bielice,,80 B
74-503,AP,Bielin,Bielin,,36
26-004,UP,Bieliny,Bieliny,Żeromskiego,2
09-230,UP,Bielsk,Bielsk,Sierpecka,4
17-101,AP,Bielsk Podlaski,Bielsk Podlaski,Tadeusza Kościuszki,13
17-100,UP,Bielsk Podlaski 1,Bielsk Podlaski,Adama Mickiewicza,20
17-100,FUP,Bielsk Podlaski 1,Bielsk Podlaski,Białowieska,111
17-102,FUP,Bielsk Podlaski 1,Bielsk Podlaski,Adama Mickiewicza,51
17-111,FUP,Bielsk Podlaski 1,Boćki,Plac Armii Krajowej,6 A
17-106,FUP,Bielsk Podlaski 1,Orla,Mickiewicza,5
17-102,UP,Bielsk Podlaski 4,Bielsk Podlaski,Adama Mickiewicza,51
43-382,AP,Bielsko-Biała,Bielsko-Biała,Cieszyńska,396
43-303,AP,Bielsko-Biała,Bielsko-Biała,Jana Sobieskiego,172
43-300,UP,Bielsko-Biała 1,Bielsko-Biała,1 Maja,2
43-301,UP,Bielsko-Biała 1,skrytki/przegródki,,
43-300,FUP,Bielsko-Biała 1,Bielsko-Biała,Aleja Armii Krajowej,220 A
43-300,FUP,Bielsko-Biała 1,Bielsko-Biała,Górska,50
43-318,FUP,Bielsko-Biała 1,skrytki/przegródki,,
43-300,FUP,Bielsko-Biała 1,Bielsko-Biała,Lipnicka,133
43-305,FUP,Bielsko-Biała 1,skrytki/przegródki,,
43-300,FUP,Bielsko-Biała 1,Bielsko-Biała,Mostowa,5
43-300,FUP,Bielsko-Biała 1,Bielsko-Biała,pl. Ratuszowy,6
43-304,FUP,Bielsko-Biała 1,Bielsko-Biała,pl. Wolności,6
43-302,UP,Bielsko-Biała 2,Bielsko-Biała,Legionów,47
43-311,FUP,Bielsko-Biała 2,Bielsko-Biała,Jutrzenki,22
43-310,FUP,Bielsko-Biała 2,Bielsko-Biała,Żywiecka,302
43-303,UP,Bielsko-Biała 3,Bielsko-Biała,Cieszyńska,140
43-317,FUP,Bielsko-Biała 3,Bielsko-Biała,Mikołaja Reja,16
43-309,UP,Bielsko-Biała 9,Bielsko-Biała,Pocztowa,8
43-345,UP,Bielsko-Biała 12,Bielsko-Biała,Wyzwolenia,293
43-344,UP,Bielsko-Biała 12,skrytki/przegródki,,
43-346,UP,Bielsko-Biała 13,Bielsko-Biała,Komorowicka,235
43-382,UP,Bielsko-Biała 14,Bielsko-Biała,Dworcowa,29
43-316,UP,Bielsko-Biała 16,Bielsko-Biała,Doliny Miętusiej,3
43-308,FUP,Bielsko-Biała 16,Bielsko-Biała,Andrychowska,2 A
43-319,UP,Bielsko-Biała 19,Bielsko-Biała,Warszawska,2
43-319,FUP,Bielsko-Biała 19,Bielsko-Biała,Piastowska,40
43-319,FUP,Bielsko-Biała 19,Bielsko-Biała,Sarni Stok,2
43-302,PP,Bielsko-Biała S201,Bielsko-Biała,Legionów,47
72-213,AP,Bienice,Bienice,,10
46-046,AP,Bierdzany,Bierdzany,Starowiejska,31
43-155,UP,Bieruń Nowy,Bieruń,Wawelska,33
43-150,FUP,Bieruń Nowy,Bieruń,ks. Jana Trochy,19
43-156,FUP,Bieruń Nowy,Bieruń,Turystyczna,1
56-420,AP,Bierutów,Bierutów,Wrocławska,21
62-651,AP,Bierzwienna Długa,Bierzwienna Długa,,28
78-324,AP,Bierzwnica,Bierzwnica,,49
11-036,AP,Biesal,Biesal,,14
77-230,AP,Biesowice,Biesowice,,36/2
38-213,AP,Bieździedza,Bieździedza,,97
09-320,UP,Bieżuń,Bieżuń,Zacisze,1
09-317,FUP,Bieżuń,Lutocin,Stefana Żeromskiego,2
26-026,AP,Bilcza,Bilcza,Marmurowa,2
23-400,UP,Biłgoraj 1,Biłgoraj,Tadeusza Kościuszki,81
23-400,FUP,Biłgoraj 1,Biłgoraj,Włosiankarska,5
23-401,FUP,Biłgoraj 1,Biłgoraj,Plac Wolności,9
23-440,FUP,Biłgoraj 1,Frampol,Biłgorajska,23
23-415,FUP,Biłgoraj 1,Księżpol,Biłgorajska,12
23-407,FUP,Biłgoraj 1,Tereszpol-Zaorenda,Szkolna,3
© Copyright by Poczta Polska S.A. Wszelkie prawa zastrzeżone.,,,,Strona 1675 / 1767,BIN
Poczta Polska S.A.,,Oficjalny Spis Pocztowych Numerów Adresowych - lipiec 2024,,Strona 1676 / 1767,BIN
PNA,Nazwa placówki,,Miejscowość,Ulica,Nr
63-452,AP,Biniew,Biniew,,100
77-324,AP,Bińcze,Bińcze,,10 A
37-740,UP,Bircza,Bircza,Rynek,9
62-007,AP,Biskupice,Biskupice,Główna,50
11-300,UP,Biskupiec,Biskupiec,Dworcowa,3
